id,language,gender_context,category,student_statement,advisor_reply
462,Mixed,Male,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze le kar responsibilities manage karein. Advisor ne recommend kiya hai semester freeze lene ke liye
463,Mixed,Male,Local/Other Issues,Protests aur political unrest ki wajah se campus nahi ja sakta. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze consider karein. Advisor ne recommend kiya hai semester freeze lene ke liye
464,English,Neutral,Academic Issues,Credit hours overload ho gaye hain aur handle nahi ho raha,Semester freeze le kar workload manage karein
465,RomanUrdu,Male,Mental Health,Depression ki wajah se classes miss ho rahi hain,Advisor ke saath discuss karein aur semester freeze lein
466,RomanUrdu,Male,Mental Health,Stress ki wajah se exams par focus nahi ho raha,Semester freeze allow hoti hai stress aur burnout ke cases me
467,English,Male,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
468,RomanUrdu,Neutral,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai,Semester freeze request karein taake aap family care kar sakein
469,Mixed,Male,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein childcare ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
470,English,Male,Administrative Issues,Semester freeze policy properly samajh nahi aa rahi,Office se clarify karein aur request submit karein
471,Mixed,Male,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta. Is liye semester freeze request kar raha/rahi hoon,Semester freeze allow ki ja sakti hai illness ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
472,English,Female,Mental Health,Severe burnout ho gaya hai aur focus nahi ban raha,Semester pause karna aapke liye beneficial hoga
473,RomanUrdu,Female,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye,Semester freeze le kar aap family support kar sakte hain
474,Mixed,Male,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi. Is liye semester freeze request kar raha/rahi hoon,Semester freeze request karein childcare ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
475,English,Neutral,Personal/Family Issues,Family pressure hai ke main degree chor doon,Advisor se discuss karein aur semester freeze consider karein
476,Mixed,Neutral,Mental Health,Severe burnout ho gaya hai aur focus nahi ban raha. Is liye semester freeze request kar raha/rahi hoon,Semester pause karna aapke liye beneficial hoga. Advisor ne recommend kiya hai semester freeze lene ke liye
477,English,Male,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
478,Mixed,Male,Financial Issues,I lost my scholarship and cannot afford this semester. Is liye semester freeze request kar raha/rahi hoon,Financial support ke liye advisor ya office se discuss karein. Advisor ne recommend kiya hai semester freeze lene ke liye
479,English,Neutral,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi,Medical certificate submit karein aur semester freeze request karein
480,English,Male,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai,Semester pause kar sakte hain jab tak facility arrange na ho
481,RomanUrdu,Female,Financial Issues,My fee is unpaid and family income suddenly stopped,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain
482,RomanUrdu,Male,Gender/Role Specific,Pregnancy ki wajah se semester continue nahi kar sakti,Semester freeze allow hoti hai maternity reasons me
483,RomanUrdu,Female,Personal/Family Issues,Family migration ki wajah se semester pause karna hai,Semester freeze allow hoti hai relocation ya migration case me
484,RomanUrdu,Female,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai,Semester freeze request karein taake aap family care kar sakein
485,English,Female,Local/Other Issues,Protests aur political unrest ki wajah se campus nahi ja sakta,Temporary semester freeze consider karein
486,English,Male,Administrative Issues,Semester freeze policy properly samajh nahi aa rahi,Office se clarify karein aur request submit karein
487,Mixed,Male,Personal/Family Issues,Hostel band ho gaya aur transport ka issue hai. Is liye semester freeze request kar raha/rahi hoon,Semester pause kar sakte hain jab tak facility arrange na ho. Advisor ne recommend kiya hai semester freeze lene ke liye
488,Mixed,Female,Gender/Role Specific,Safety issues ki wajah se campus travel possible nahi. Is liye semester freeze request kar raha/rahi hoon,Temporary semester freeze request karein safety ke liye. Advisor ne recommend kiya hai semester freeze lene ke liye
489,English,Female,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
490,English,Neutral,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
491,English,Neutral,Local/Other Issues,Competitive coaching ke liye semester pause karna zaroori hai,Semester freeze allow hoti hai professional training ke liye
492,English,Male,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye,Semester freeze le kar aap family support kar sakte hain
493,RomanUrdu,Neutral,Gender/Role Specific,Male breadwinner responsibility hai is liye break chahiye,Semester freeze le kar aap family support kar sakte hain
494,RomanUrdu,Neutral,Personal/Family Issues,Ghar walay business sambhalne ko keh rahe hain,Temporary semester freeze le kar responsibilities manage karein
495,RomanUrdu,Neutral,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai,Recovery ke liye semester freeze recommended hai
496,English,Neutral,Administrative Issues,Semester freeze policy properly samajh nahi aa rahi,Office se clarify karein aur request submit karein
497,Mixed,Neutral,Mental Health,Mentally bohat exhausted feel kar raha hoon. Is liye semester freeze request kar raha/rahi hoon,Mental health ke liye temporary semester freeze consider karein. Advisor ne recommend kiya hai semester freeze lene ke liye
498,English,Neutral,Financial Issues,I lost my scholarship and cannot afford this semester,Financial support ke liye advisor ya office se discuss karein
499,Mixed,Female,Mental Health,Anxiety attacks ki wajah se studies disturb ho rahi hain. Is liye semester freeze request kar raha/rahi hoon,Semester freeze le kar mental health improve karein. Advisor ne recommend kiya hai semester freeze lene ke liye
500,RomanUrdu,Neutral,Personal/Family Issues,Family migration ki wajah se semester pause karna hai,Semester freeze allow hoti hai relocation ya migration case me
501,RomanUrdu,Neutral,Gender/Role Specific,Safety issues ki wajah se campus travel possible nahi,Temporary semester freeze request karein safety ke liye
502,RomanUrdu,Female,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
503,Mixed,Female,Mental Health,Severe burnout ho gaya hai aur focus nahi ban raha. Is liye semester freeze request kar raha/rahi hoon,Semester pause karna aapke liye beneficial hoga. Advisor ne recommend kiya hai semester freeze lene ke liye
504,Mixed,Female,Medical Issues,Chronic pain ki wajah se classes attend nahi ho rahi. Is liye semester freeze request kar raha/rahi hoon,Medical certificate submit karein aur semester freeze request karein. Advisor ne recommend kiya hai semester freeze lene ke liye
505,RomanUrdu,Neutral,Academic Issues,DSA is too hard for me and I need a break to improve basics,Semester freeze recommend kiya jata hai taake aap basics strong kar sakein
506,English,Neutral,Gender/Role Specific,Childcare ki wajah se classes attend nahi ho pa rahi,Semester freeze request karein childcare ke liye
507,Mixed,Female,Financial Issues,My fee is unpaid and family income suddenly stopped. Is liye semester freeze request kar raha/rahi hoon,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain. Advisor ne recommend kiya hai semester freeze lene ke liye
508,English,Female,Administrative Issues,Mujhe 4pm ke baad class attend karna possible nahi,Semester freeze allow ki ja sakti hai timing issues me
509,English,Female,Administrative Issues,"Lab aur lecture same time hai, attend nahi kar pa raha",Semester freeze consider karein jab tak schedule fix na ho
510,English,Neutral,Personal/Family Issues,Mother bohat sick hain aur unka khayal rakhna hai,Semester freeze request karein taake aap family care kar sakein
511,RomanUrdu,Male,Financial Issues,My fee is unpaid and family income suddenly stopped,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain
512,English,Male,Local/Other Issues,Floods damaged roads and internet is not working,Semester freeze allow ki ja sakti hai disaster situations me
513,Mixed,Neutral,Medical Issues,Accident hua hai aur physiotherapy chal rahi hai. Is liye semester freeze request kar raha/rahi hoon,Recovery ke liye semester freeze recommended hai. Advisor ne recommend kiya hai semester freeze lene ke liye
514,English,Male,Gender/Role Specific,Father hospital mein hain aur mujhe ghar sambhalna hai,Semester pause allow hoti hai family care ke liye
515,English,Male,Administrative Issues,Teacher change request process clear nahi hai,Advisor se guide lein aur semester pause consider karein
516,RomanUrdu,Female,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha,Late fine waiver ya installment ke liye office se contact karein
517,RomanUrdu,Female,Medical Issues,Major illness ke wajah se semester continue nahi kar sakta,Semester freeze allow ki ja sakti hai illness ke liye
518,English,Male,Personal/Family Issues,Family migration ki wajah se semester pause karna hai,Semester freeze allow hoti hai relocation ya migration case me
519,English,Male,Local/Other Issues,Power outages aur internet disruption ke wajah se classes miss ho rahi hain,Semester pause request submit karein taake classes miss na ho
520,RomanUrdu,Female,Financial Issues,My fee is unpaid and family income suddenly stopped,Aapko fee installment request submit karni chahiye ya temporary semester freeze le sakte hain
521,RomanUrdu,Neutral,Financial Issues,Main temporary full time job kar raha hoon to support family,Semester freeze le kar aap work aur studies dono manage kar sakte hain
522,RomanUrdu,Female,Local/Other Issues,Floods damaged roads and internet is not working,Semester freeze allow ki ja sakti hai disaster situations me
523,English,Male,Medical Issues,Medical condition ki wajah se campus ana possible nahi,Semester freeze submit karen taake aap recovery pe focus karein
524,RomanUrdu,Female,Mental Health,Stress ki wajah se exams par focus nahi ho raha,Semester freeze allow hoti hai stress aur burnout ke cases me
525,Mixed,Male,Financial Issues,Late fee fine lag gaya hai aur arrange nahi ho raha. Is liye semester freeze request kar raha/rahi hoon,Late fine waiver ya installment ke liye office se contact karein. Advisor ne recommend kiya hai semester freeze lene ke liye
526,English,Female,Local/Other Issues,Floods damaged roads and internet is not working,Semester freeze allow ki ja sakti hai disaster situations me
527,English,Neutral,Local/Other Issues,Protests aur political unrest ki wajah se campus nahi ja sakta,Temporary semester freeze consider karein
